Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
ZWE,27,716,716,Zimbabwe,1,1707,1555,1874,1707,68.3,23.3,7.6
ZMB,27,894,894,Zambia,1,1642,1483,1818,1642,65.4,17.0,7.3
YEM,27,887,887,Yemen,1,160,121,211,160,2.6,1.0,0.27
VNM,27,704,704,Viet Nam,1,5875,5585,6180,5875,11.5,11.9,1.3
VEN,27,862,862,Venezuela,1,8212,7075,9532,8212,52.3,57.1,5.7
VUT,27,548,548,Vanuatu,1,20,11,35,20,19.4,12.3,2.5
UZB,27,860,860,Uzbekistan,1,1217,849,1744,1217,10.3,7.1,1.3
URY,27,858,858,Uruguay,1,1665,1525,1818,1665,59.0,98.5,7.4
USA,27,840,840,United States of America,1,230125,221508,239077,230125,75.2,138.9,9.7
GBR,27,826,826,United Kingdom,1,55485,53780,57244,55485,74.0,163.8,9.3
ARE,27,784,784,United Arab Emirates,1,310,251,383,310,13.8,4.5,1.6
UKR,27,804,804,Ukraine,1,9254,8755,9781,9254,26.4,46.2,3.6
UGA,27,800,800,Uganda,1,2699,2496,2919,2699,43.1,11.3,5.3
TUR,27,792,792,Türkiye,1,17274,16209,18409,17274,35.3,40.9,4.3
TKM,27,795,795,Turkmenistan,1,123,16,954,123,6.1,4.0,0.74
TUN,27,788,788,Tunisia,1,1252,1108,1415,1252,16.8,21.0,1.9
TTO,27,780,780,Trinidad and Tobago,1,775,598,1005,775,73.6,111.7,8.4
,,,,Total,,1466750,,,1466750,29.4,36.9,3.7
TGO,27,768,768,Togo,1,577,503,662,577,31.3,13.4,3.9
TLS,27,626,626,Timor-Leste,1,32,27,38,32,7.8,4.6,0.87
GMB,27,270,270,The Republic of the Gambia,1,48,27,85,48,10.3,3.8,1.1
NLD,27,528,528,The Netherlands,1,11956,11305,12644,11956,57.0,139.3,7.6
THA,27,764,764,Thailand,1,7830,7489,8186,7830,12.5,23.0,1.5
TZA,27,834,834,"Tanzania, United Republic of",1,4805,4335,5326,4805,45.4,15.2,5.0
TJK,27,762,762,Tajikistan,1,108,36,323,108,3.9,2.2,0.51
SYR,27,760,760,Syrian Arab Republic,1,1115,856,1453,1115,17.6,11.5,1.7
CHE,27,756,756,Switzerland,1,6871,6091,7751,6871,69.1,157.7,8.8
SWE,27,752,752,Sweden,1,11732,11114,12384,11732,104.3,229.0,13.1
SUR,27,740,740,Suriname,1,213,28,1602,213,75.2,71.1,8.9
SDN,27,729,729,Sudan,1,1404,1240,1589,1404,11.9,6.1,1.4
LKA,27,144,144,Sri Lanka,1,1019,904,1149,1019,6.5,9.9,0.79
ESP,27,724,724,Spain,1,32967,31261,34766,32967,66.5,143.5,9.0
SSD,27,728,728,South Sudan,1,591,474,737,591,22.0,10.2,2.4
ZAF,27,710,710,South Africa,1,12903,11244,14807,12903,62.0,43.2,7.4
SOM,27,706,706,Somalia,1,623,532,729,623,18.5,7.4,1.9
SLB,27,090,90,Solomon Islands,1,83,27,254,83,37.9,22.6,4.6
SVN,27,705,705,Slovenia,1,1765,1617,1926,1765,72.6,170.5,9.6
SVK,27,703,703,Slovakia,1,3606,2875,4523,3606,69.2,135.6,9.4
SGP,27,702,702,Singapore,1,2020,1864,2189,2020,32.8,64.9,4.2
SLE,27,694,694,Sierra Leone,1,374,103,1356,374,21.2,9.0,2.9
SRB,27,688,688,Serbia,1,3398,2928,3943,3398,37.0,80.2,4.9
SEN,27,686,686,Senegal,1,913,163,5108,913,27.1,10.6,3.1
SAU,27,682,682,Saudi Arabia,1,752,653,866,752,5.9,3.6,0.68
STP,27,678,678,Sao Tome and Principe,1,22,12,40,22,44.8,19.3,5.8
WSM,27,882,882,Samoa,1,35,35,35,35,49.1,33.4,5.9
LCA,27,662,662,Saint Lucia,1,130,57,298,130,93.9,142.7,11.2
RWA,27,646,646,Rwanda,1,1016,747,1381,1016,36.4,15.2,4.3
RUS,27,643,643,Russian Federation,1,52712,51314,54148,52712,47.4,78.0,6.5
ROU,27,642,642,Romania,1,10442,9500,11477,10442,53.9,112.9,7.3
MDA,27,498,498,Republic of Moldova,1,985,808,1200,985,34.6,51.3,4.9
QAT,27,634,634,Qatar,1,111,78,158,111,11.0,5.0,1.5
PRI,27,630,630,Puerto Rico,1,2843,2658,3040,2843,95.2,212.2,11.8
PRT,27,620,620,Portugal,1,7529,6830,8299,7529,62.6,156.8,7.9
